date,Unemployment,no.articles_Unemployment,Mental_health,no.articles_Mental_health,Wellbeing
2021-05-31,-0.0126012900362895,299,-0.715920980142454,1204,-0.922052533216784
2015-03-31,-0.7894871824214474,1025,-2.493838994508517,674,
2015-04-30,-0.4352521878666771,1122,-3.522739863622078,598,
2015-05-31,-0.6625324971771589,1255,-0.6016922731766268,528,
2015-06-30,-1.3860611046512494,906,-1.5950287700622363,409,
2015-07-31,-1.2821937269133474,741,-1.922671754194216,3033,-1.972887776599652
2015-08-31,-0.8176279671053891,929,-2.0348992808482804,4458,-2.063760133445153
2015-09-30,-1.4137485149106566,705,-1.8396772341238696,4968,-1.8749682843169224
2015-10-31,-0.6833595570520895,767,-2.0576534347975866,4940,-2.139811205137694
2015-11-30,-0.8001715404448355,824,-2.408898451413198,4788,-2.444793641858706
2015-12-31,-1.01894882913444,662,-1.962512705328878,4440,-2.003758902656869
2016-01-31,-0.672244678576971,829,-2.0413969565752788,5664,-2.012500996797738
2016-02-29,-1.225209053671436,803,-2.1983754213022664,3985,-2.23048452823997
2016-03-31,-0.9140392988283912,968,-2.229607628830982,5534,-2.252314767935218
2016-04-30,-0.9363134501968048,396,-2.592501916739589,3138,-2.4899800365860054
2016-05-31,0.2646936166528131,47,-1.636169596055631,307,-1.6897093777990688
2016-06-30,-1.2828467191524726,600,-1.9816963213710184,4141,-1.9377786036533764
2016-07-31,-1.2880590968926324,824,-2.33309546638461,4398,-2.377020053151253
2016-08-31,-1.5430811928580443,1043,-2.616296703010448,5853,-2.662130336425271
2016-09-30,-1.1016576721220466,770,-2.169464821856368,6355,-2.273325354213037
2016-10-31,-1.2073632831526004,1188,-2.034243472501865,7443,-2.102956841449008
2016-11-30,-1.684271894732528,1107,-2.539658220204188,6043,-2.706184804812446
2016-12-31,-1.6075982112753395,1076,-2.316824078209977,7131,-2.355914169961045
2017-01-31,-0.6145191059523121,667,-2.389344201418102,5506,-2.613185109267941
2017-02-28,-1.939803540953094,859,-2.2382853739145685,5105,-2.668189937510632
2017-03-31,-0.7059507625003862,505,-2.288752159158649,4889,-2.375023200540477
2017-04-30,-1.6140912463170742,873,-3.644064109794414,6453,-3.9180966835509934
2017-05-31,-0.9833934458712156,680,-2.8495964163382506,7705,-2.9952180878575008
2017-06-30,-1.1569096598320956,574,-3.2815173958917394,8295,-3.3680923086569754
2017-07-31,-1.4605748041449835,464,-2.2262916123535814,4897,-2.301752190747097
2017-08-31,-1.0917360665920923,829,-3.305029337882001,6410,-3.4070389559191248
2017-09-30,-1.853531725842288,842,-3.034287170545077,6988,-3.1066716504751626
2017-10-31,-2.3035999560230103,1348,-2.554418958076192,6939,-2.887744920787855
2017-11-30,-1.3326070402384904,1249,-2.7873337351693563,7337,-3.0093419304640965
2017-12-31,-2.724919827639745,723,-1.809403600979217,6586,-1.841002722543662
2018-01-31,-1.4314194420863484,1068,-2.634503507466266,7476,-2.7399584826643983
2018-02-28,-2.33984796916793,883,-2.659384467812155,6591,-2.644463008427281
2018-03-31,-1.24277312232014,588,-2.556807596135944,9632,-2.6767251427173453
2018-04-30,-1.6771495017360545,855,-2.7965392993302163,8474,-2.85390232594997
2018-05-31,-2.116924790164892,926,-2.380451827164721,9826,-2.5477637006775806
2018-06-30,-1.5545151609255377,826,-1.6530419757284134,9654,-1.7300616281229495
